002078.SZ,太阳纸业,13.31,2.149,a股
002079.SZ,苏州固锝,11.11,0.725,a股
002080.SZ,中材科技,23.38,1.652,a股
002081.SZ,金螳螂,9.52,0.634,a股
002086.SZ,*ST东洋,1.89,2.162,a股
002084.SZ,海鸥住工,7.22,-0.138,a股
002085.SZ,万丰奥威,6.34,2.755,a股
002089.SZ,ST新海,2.02,5.208,a股
002088.SZ,鲁阳节能,11.35,4.995,a股
002090.SZ,金智科技,8.43,1.566,a股
002087.SZ,新野纺织,4.1,0.737,a股
002091.SZ,江苏国泰,7.99,4.037,a股
002092.SZ,中泰化学,6.05,1.34,a股
002093.SZ,国脉科技,7.16,0.845,a股
002094.SZ,青岛金王,3.79,0.531,a股
002095.SZ,生意宝,14.49,3.871,a股
002096.SZ,南岭民爆,7.6,-1.809,a股
002097.SZ,山河智能,7.94,-0.75,a股
002098.SZ,浔兴股份,5.77,-5.719,a股
002099.SZ,海翔药业,8.78,1.152,a股
002100.SZ,天康生物,11.65,-2.673,a股
002102.SZ,ST冠福,1.7,0,a股
002101.SZ,广东鸿图,6.95,0.579,a股
002103.SZ,广博股份,4.34,2.844,a股
002105.SZ,信隆健康,7.47,1.22,a股
002107.SZ,沃华医药,7.73,0,a股
002106.SZ,莱宝高科,11.11,2.208,a股
002109.SZ,兴化股份,3.28,0.923,a股
002110.SZ,三钢闽光,6.71,0.902,a股
002112.SZ,三变科技,8.46,0.118,a股
002111.SZ,威海广泰,14.95,-1.255,a股
002113.SZ,*ST天润,1.4,0,a股
002115.SZ,三维通信,--,--,a股
002114.SZ,罗平锌电,7.46,4.482,a股
002116.SZ,中国海诚,7.13,0.423,a股
002117.SZ,东港股份,9.02,-1.097,a股
002119.SZ,康强电子,10.11,0.198,a股
002120.SZ,韵达股份,15.16,-2.194,a股
002122.SZ,*ST天马,2.13,0.948,a股
002124.SZ,天邦股份,14.19,-2.541,a股
002121.SZ,*ST科陆,3.51,0.862,a股
002123.SZ,梦网集团,13.88,-0.999,a股
002125.SZ,湘潭电化,8.43,3.182,a股
